,Opentime,Close,MA1,MA2
0,1652572800000,0.07162,,
1,1652573700000,0.07229,,
2,1652574600000,0.07141,,
3,1652575500000,0.07095,,
4,1652576400000,0.07058,,
5,1652577300000,0.07074,,
6,1652578200000,0.07048,,
7,1652579100000,0.07079,,
8,1652580000000,0.07042,,
9,1652580900000,0.07038,,
10,1652581800000,0.07052,,
11,1652582700000,0.0707,,
12,1652583600000,0.0704,,
13,1652584500000,0.0701,,
14,1652585400000,0.0704,,
15,1652586300000,0.07043,,
16,1652587200000,0.07049,,
17,1652588100000,0.07029,,
18,1652589000000,0.06991,,
19,1652589900000,0.06975,,
20,1652590800000,0.0696,,
21,1652591700000,0.06981,,
22,1652592600000,0.07016,,
23,1652593500000,0.06998,,
24,1652594400000,0.07,,
25,1652595300000,0.06988,,
26,1652596200000,0.06973,,
27,1652597100000,0.07012,,
28,1652598000000,0.07008,,
29,1652598900000,0.06962,,
30,1652599800000,0.06949,,
31,1652600700000,0.06935,,
32,1652601600000,0.06921,,
33,1652602500000,0.06894,,
34,1652603400000,0.0688,,
35,1652604300000,0.06854,,
36,1652605200000,0.06849,,
37,1652606100000,0.06875,,
38,1652607000000,0.06863,,
39,1652607900000,0.06835,,
40,1652608800000,0.06822,,
41,1652609700000,0.06831,,
42,1652610600000,0.06833,,
43,1652611500000,0.06918,,
44,1652612400000,0.0689,,
45,1652613300000,0.06929,,
46,1652614200000,0.06974,,
47,1652615100000,0.06998,,
48,1652616000000,0.07028,,
49,1652616900000,0.07013,,
50,1652617800000,0.06995,,
51,1652618700000,0.06969,,
52,1652619600000,0.06994,,
53,1652620500000,0.06955,,
54,1652621400000,0.06917,,
55,1652622300000,0.06892,,
56,1652623200000,0.06845,,
57,1652624100000,0.06792,,
58,1652625000000,0.06834,,
59,1652625900000,0.06823,,
60,1652626800000,0.06882,,
61,1652627700000,0.06866,,
62,1652628600000,0.06831,,
63,1652629500000,0.0683,,
64,1652630400000,0.06836,,
65,1652631300000,0.06863,,
66,1652632200000,0.06867,,
67,1652633100000,0.06878,,
68,1652634000000,0.06892,,
69,1652634900000,0.06887,,
70,1652635800000,0.06865,,
71,1652636700000,0.06856,,
72,1652637600000,0.06883,,
73,1652638500000,0.06911,,
74,1652639400000,0.06999,,
75,1652640300000,0.07017,,
76,1652641200000,0.07001,,
77,1652642100000,0.07002,,
78,1652643000000,0.07034,,
79,1652643900000,0.07048,,
80,1652644800000,0.07161,,
81,1652645700000,0.07152,,
82,1652646600000,0.07155,,
83,1652647500000,0.0715,,
84,1652648400000,0.07164,,
85,1652649300000,0.07114,,
86,1652650200000,0.07125,,
87,1652651100000,0.07151,,
88,1652652000000,0.07228,,
89,1652652900000,0.07219,,
90,1652653800000,0.07227,,
91,1652654700000,0.07197,,
92,1652655600000,0.07186,,
93,1652656500000,0.07225,,
94,1652657400000,0.07227,,
95,1652658300000,0.0724,,
96,1652659200000,0.07169,,
97,1652660100000,0.0714,,
98,1652661000000,0.0712,,
99,1652661900000,0.07125,,
100,1652662800000,0.07099,,
101,1652663700000,0.07086,,
102,1652664600000,0.07065,,
103,1652665500000,0.07125,,
104,1652666400000,0.07102,,
105,1652667300000,0.07109,,
106,1652668200000,0.07132,,
107,1652669100000,0.07176,,
108,1652670000000,0.07125,,
109,1652670900000,0.07127,,
110,1652671800000,0.071,,
111,1652672700000,0.07117,,
112,1652673600000,0.07087,,
113,1652674500000,0.07134,,
114,1652675400000,0.07078,,
115,1652676300000,0.07046,,
116,1652677200000,0.07059,,
117,1652678100000,0.07074,,
118,1652679000000,0.0705,,
119,1652679900000,0.07009,,
120,1652680800000,0.06917,,
121,1652681700000,0.06927,,
122,1652682600000,0.0696,,
123,1652683500000,0.06936,,
124,1652684400000,0.06889,,
125,1652685300000,0.069,,
126,1652686200000,0.0691,,
127,1652687100000,0.06901,,
128,1652688000000,0.06925,,
129,1652688900000,0.06895,,
130,1652689800000,0.06929,,
131,1652690700000,0.06911,,
132,1652691600000,0.06876,,
133,1652692500000,0.06843,,
134,1652693400000,0.06847,,
135,1652694300000,0.06854,,
136,1652695200000,0.06878,,
137,1652696100000,0.06887,,
138,1652697000000,0.06906,,
139,1652697900000,0.0694,,
140,1652698800000,0.06923,,
141,1652699700000,0.06924,,
142,1652700600000,0.06889,,
143,1652701500000,0.06887,,
144,1652702400000,0.06895,,
145,1652703300000,0.06927,,
146,1652704200000,0.06912,,
147,1652705100000,0.06912,,
148,1652706000000,0.06917,,
149,1652706900000,0.06918,,
150,1652707800000,0.0691,,
151,1652708700000,0.0687,,
152,1652709600000,0.06868,,
153,1652710500000,0.06884,,
154,1652711400000,0.0681,,
155,1652712300000,0.06729,,
156,1652713200000,0.06762,,
157,1652714100000,0.06781,,
158,1652715000000,0.06754,,
159,1652715900000,0.0677,,
160,1652716800000,0.06764,,
161,1652717700000,0.06784,,
162,1652718600000,0.06758,,
163,1652719500000,0.06779,,
164,1652720400000,0.06803,,
165,1652721300000,0.06871,,
166,1652722200000,0.06892,,
167,1652723100000,0.06893,,
168,1652724000000,0.06909,,
169,1652724900000,0.06914,,
170,1652725800000,0.06909,,
171,1652726700000,0.06916,,
172,1652727600000,0.06914,,
173,1652728500000,0.06901,,
174,1652729400000,0.06904,,
175,1652730300000,0.06897,,
176,1652731200000,0.06925,,
177,1652732100000,0.06939,,
178,1652733000000,0.06964,,
179,1652733900000,0.06946,,
180,1652734800000,0.06981,,
181,1652735700000,0.06974,,
182,1652736600000,0.06995,,
183,1652737500000,0.07,,
184,1652738400000,0.07006,,
185,1652739300000,0.06989,,
186,1652740200000,0.0697,,
187,1652741100000,0.06951,,
188,1652742000000,0.0694,,
189,1652742900000,0.0695,,
190,1652743800000,0.06914,,
191,1652744700000,0.06917,,
192,1652745600000,0.06937,,
193,1652746500000,0.06964,,
194,1652747400000,0.0699,,
195,1652748300000,0.06992,,
196,1652749200000,0.06945,,
197,1652750100000,0.06924,,
198,1652751000000,0.06942,,
199,1652751900000,0.06964,,
200,1652752800000,0.06981,,
201,1652753700000,0.06934,,
202,1652754600000,0.0695,,
203,1652755500000,0.0697,,
204,1652756400000,0.07013,,
205,1652757300000,0.07021,,
206,1652758200000,0.07048,,
207,1652759100000,0.07034,,
208,1652760000000,0.07066,,
209,1652760900000,0.07019,,
210,1652761800000,0.07039,,
211,1652762700000,0.07074,,
212,1652763600000,0.07075,,
213,1652764500000,0.07094,,
214,1652765400000,0.07096,,
215,1652766300000,0.071,,
216,1652767200000,0.07083,,
217,1652768100000,0.07078,,
218,1652769000000,0.07092,,
219,1652769900000,0.07103,,
220,1652770800000,0.07059,,
221,1652771700000,0.07028,,
222,1652772600000,0.07027,,
223,1652773500000,0.07022,,
224,1652774400000,0.07037,,
225,1652775300000,0.07021,,
226,1652776200000,0.07046,,
227,1652777100000,0.07034,,
228,1652778000000,0.07032,,
229,1652778900000,0.07042,,
230,1652779800000,0.07044,,
231,1652780700000,0.07038,,
232,1652781600000,0.07033,,
233,1652782500000,0.07031,,
234,1652783400000,0.07004,,
235,1652784300000,0.06996,,
236,1652785200000,0.07015,,
237,1652786100000,0.07045,,
238,1652787000000,0.07009,,
239,1652787900000,0.0703,,
240,1652788800000,0.07044,,
241,1652789700000,0.07095,,
242,1652790600000,0.07129,,
243,1652791500000,0.07132,,
244,1652792400000,0.0712,,
245,1652793300000,0.07139,,
246,1652794200000,0.07167,,
247,1652795100000,0.07126,,
248,1652796000000,0.07066,,
249,1652796900000,0.07079,,
250,1652797800000,0.07006,,
251,1652798700000,0.07013,,
252,1652799600000,0.07044,,
253,1652800500000,0.0698,,
254,1652801400000,0.07012,,
255,1652802300000,0.07039,,
256,1652803200000,0.06998,,
257,1652804100000,0.06989,,
258,1652805000000,0.0703,,
259,1652805900000,0.07026,,
260,1652806800000,0.07054,,
261,1652807700000,0.07064,,
262,1652808600000,0.07073,,
263,1652809500000,0.07059,,
264,1652810400000,0.07051,,
265,1652811300000,0.06995,,
266,1652812200000,0.07035,,
267,1652813100000,0.0707,,
268,1652814000000,0.07245,,
269,1652814900000,0.07266,,
270,1652815800000,0.07264,,
271,1652816700000,0.07305,,
272,1652817600000,0.07282,,
273,1652818500000,0.07308,,
274,1652819400000,0.07328,,
275,1652820300000,0.07285,,
276,1652821200000,0.07276,,
277,1652822100000,0.0725,,
278,1652823000000,0.07277,,
279,1652823900000,0.07279,,
280,1652824800000,0.07267,,
281,1652825700000,0.07237,,
282,1652826600000,0.07225,,
283,1652827500000,0.0726,,
284,1652828400000,0.07259,,
285,1652829300000,0.07262,,
286,1652830200000,0.0723,,
287,1652831100000,0.07225,,
288,1652832000000,0.07253,,
289,1652832900000,0.07277,,
290,1652833800000,0.07243,,
291,1652834700000,0.07241,,
292,1652835600000,0.07207,,
293,1652836500000,0.07191,,
294,1652837400000,0.07181,,
295,1652838300000,0.07188,,
296,1652839200000,0.07215,,
297,1652840100000,0.07216,,
298,1652841000000,0.07216,,
299,1652841900000,0.07223,,
300,1652842800000,0.07147,,
301,1652843700000,0.07176,,
302,1652844600000,0.0716,,
303,1652845500000,0.07158,,
304,1652846400000,0.07181,,
305,1652847300000,0.07192,,
306,1652848200000,0.07193,,
307,1652849100000,0.07181,,
308,1652850000000,0.07192,,
309,1652850900000,0.07198,,
310,1652851800000,0.07178,,
311,1652852700000,0.07198,,
312,1652853600000,0.07193,,
313,1652854500000,0.0717,,
314,1652855400000,0.0716,,
315,1652856300000,0.07138,,
316,1652857200000,0.07144,,
317,1652858100000,0.07161,,
318,1652859000000,0.0718,,
319,1652859900000,0.0717,,
320,1652860800000,0.0718,,
321,1652861700000,0.07186,,
322,1652862600000,0.07212,,
323,1652863500000,0.07245,,
324,1652864400000,0.07225,,
325,1652865300000,0.07203,,
326,1652866200000,0.07191,,
327,1652867100000,0.07205,,
